date,ALIBABA,AMAZON,APPLE,ASIANPAINT,ASML,BAJFINANCE,BERKSHIRE,GOOGLE,HDFCBANK,HINDUNILVR,ICICIBANK,INFY,ITC,LVMH,META,MICROSOFT,NESTLE,NVIDIA,RELIANCE,SAMSUNG,SAP,SBIN,SONY,TCS,TESLA,TSMC
2020-01-03,0.009523800393721471,-0.012139029825975478,-0.009722308547592817,-0.02191938369118218,-0.00538194124246516,-0.01238801398739231,-0.009676430666841762,-0.005230356695593352,-0.014260511059354442,-0.005469292949007332,-0.0032371855190742593,0.015380075329817444,-0.005628340592753522,-0.00011943709874118191,-0.005291462843976413,-0.012451497912701504,,-0.016011254773229622,0.00120511713965743,0.005434658802897729,-0.012622446123705555,-0.01650420965785815,,0.019928960113009042,0.02963324501464215,-0.032978671828091666
2020-01-06,-0.004717214056585761,0.01488557150247738,0.007968299752010521,-0.02526557160249643,-0.018100923924750822,-0.04691837894947448,0.0035812184985410944,0.026653633105246044,-0.021641624447789054,-0.0062259560785260515,-0.024403792243974598,-0.00958404451202488,-0.014255569661430156,-0.009425081103267452,0.01883356870866848,0.002584122057341709,-0.0005646546214423953,0.0041870915032677924,-0.023192358774950406,0.0,-0.007471318494325141,-0.04405174748774476,,-9.073313321728005e-05,0.01925577300738124,-0.011540686463555772
2020-01-07,0.007583314608805125,0.0020915664676699475,-0.004701949274850903,0.010104534552697997,0.02014470758933329,0.002739857190512174,-0.004713864046874461,-0.0019316883446627298,0.015834641826731666,0.0027410578505100425,-0.005326182194726914,-0.014820519104862262,0.0010630189153120195,0.0020476040721528754,0.0021636012488586154,-0.009117695671019388,-0.009976010863508855,0.012119054883216407,0.015384679515742627,0.005405366741085382,0.00451598282047172,-0.0018807759287859938,0.031671218602090656,0.0024538703673799844,0.03880050626687992,0.016205144211542732
2020-01-08,-0.008467020851985918,-0.00780864877337617,0.016085507611072636,0.002551672013773265,0.008569139596309894,0.010554682523370884,0.0003098441926345785,0.007117283406351538,-0.002617734396775373,0.004503548898398435,0.005832811328454923,-0.013326017126255918,-0.004886444856105232,0.006730642048434987,0.010138078817034879,0.015928616646067484,-0.016159526032170635,0.0018756384706846152,-0.007510176169947869,0.01792139872467602,0.0059951576514609695,0.004396633003509232,0.0006533384888924854,0.022395008603540933,0.04920260819233335,0.007373464741362579
2020-01-09,0.022770574263893284,0.004799230431772106,0.021240991665880005,0.025306656581729037,0.0062800853226192555,0.018333613350900668,0.011770432320014068,0.01049857842215629,0.011214526351852827,0.002954241689951287,0.0386919558247687,0.013018577411607168,0.00683181378440989,0.013610360640854857,0.014310854614641988,0.012493381415740634,-0.00405799484358349,0.010982030923526898,0.023031340539780176,0.03168966597803058,0.019367919359441155,0.03252049326854278,0.018798952239279076,-0.018135451835748828,-0.021944997302594027,0.008171307809430095
2020-01-10,0.01113180943843739,-0.009410588885089721,0.0022602579132473544,0.011282989691516754,-0.01394993237513642,0.005007131602314585,-0.008878198119396497,0.006458109635891551,0.00888776914088174,0.009793055022661479,-0.011074340061009824,0.014569392566605721,0.00933029428104537,-0.0020025035840631755,-0.0010992602961585884,-0.004627127143424614,-0.0013574121121516791,0.005340431864025774,-0.00022599193129402284,0.015358487945672739,0.004871387151414552,0.006208460652288972,0.004997526740346592,-0.00036131657086013735,-0.006625261379961556,-0.006247034784926275
2020-01-13,0.022018512986194283,0.004322521718812977,0.02136453930289184,0.006889851766532562,0.0016746891690313515,0.0047407533216006215,0.008075191951284033,0.007747419996246174,0.0025727972902744867,0.02090587539286104,-0.003054409832903171,0.04795779576491377,0.005252062053144879,0.007317596276078975,0.017655587554382235,0.012024299841992159,0.005828503990521927,0.03134610640572322,-0.002552480616269892,0.008403556365510712,0.0,-0.004514754417061617,,-0.010480918365467606,0.09768890757198823,0.020386270176092625
2020-01-14,0.003590389304461983,-0.011558187490086191,-0.013503149033301742,0.007895112444022745,0.0016730680445180557,0.006843426730518631,-0.005602976581308816,-0.006554984995371771,0.002721522936322218,0.006993069450891287,-0.0018566893800130435,0.0027148149006253064,0.016719020023221898,0.00995895181657458,-0.012843005857424372,-0.007043004739514247,-0.0011596306987116112,-0.01864106775525809,-0.0092632427663224,0.0,-0.0012931544692149632,-0.008314205810507236,0.02460774926671072,0.007555816820230321,0.02488089692403994,0.004330206686748772
2020-01-15,-0.012522081107215532,-0.003969103046901679,-0.0042853712285747525,0.012698086631412808,0.007235760015659176,0.003398578292731269,0.005194347845226099,0.006017490048376484,-0.004071450151181044,0.0063970239184900635,-0.0037202861758596217,-0.010442906405145558,-0.0034942987608505005,0.0010438445408467167,0.009540644008423138,0.006475728389226054,0.0038680188544493177,-0.00692210197913623,-0.0036290056781684843,-0.016666823485521065,-0.004854048813177414,-0.011432966871754213,-0.019412603571760778,0.009062566202487243,-0.036100197148458135,-0.031995946450081414
2020-01-16,-0.00634089189164555,0.008549854459135808,0.012526365861555755,-0.0038539683648579626,-0.004605236767587062,0.003089874865540132,0.006043354499671638,0.007615233830413626,0.002647626598329955,0.013652000997793401,0.0028942585076876526,-0.00071657023950078,-0.006806902298632345,0.0010430116430870662,0.002803653134513473,0.01832343037905093,0.010402841174260935,0.01367890568754504,0.009220051665031148,0.028813688985721564,-0.004552663227394116,-0.0029302361803115184,0.007106550317953264,0.005343773327076251,-0.009662478628275073,0.0061643415371164245
