stock,weight
ITC,10.0
INFY,10.0
SBIN,10.0
NVIDIA,10.0
TESLA,10.0
SONY,10.0
TSMC,6.94
GOOGLE,6.28
SAMSUNG,3.64
TCS,3.34
ASML,3.12
ICICIBANK,2.68
BERKSHIRE,1.0
BAJFINANCE,1.0
APPLE,1.0
ASIANPAINT,1.0
ALIBABA,1.0
AMAZON,1.0
HINDUNILVR,1.0
HDFCBANK,1.0
META,1.0
LVMH,1.0
NESTLE,1.0
MICROSOFT,1.0
SAP,1.0
RELIANCE,1.0
