name,ALIBABA,AMAZON,APPLE,ASIANPAINT,ASML,BAJFINANCE,BERKSHIRE,GOOGLE,HDFCBANK,HINDUNILVR,ICICIBANK,INFY,ITC,LVMH,META,MICROSOFT,NESTLE,NVIDIA,RELIANCE,SAMSUNG,SAP,SBIN,SONY,TCS,TESLA,TSMC
ALIBABA,1.0,0.022096353109642235,0.06264048377471262,0.06094536097686595,0.4212540169758079,0.24823166200076818,0.13024805472346832,0.2990037827004786,0.0734395652647142,0.034393425112970576,0.13123913929507697,-0.05557056781571158,-0.11879913605452763,0.07219185730214914,0.0522648581426985,-0.022191536537263766,0.1555942273651746,0.15430240656413272,0.22234168674163773,0.454027249836292,-0.10491843968955412,0.2838328958664728,0.1976708389361309,-0.10843473488082747,0.07458880395404127,0.35528620693625546
AMAZON,0.022096353109642235,1.0,0.5856418811132458,0.06949211713808923,0.18562441986767914,0.051769725645508524,0.32981800913476933,0.4813138178675497,0.08881403286957076,0.08428229904774083,0.11839719124027803,0.15995681777490103,0.12557585266408994,0.2889424553600943,0.6105761957556209,0.678286836491355,0.08282233884975086,0.5456394044586759,0.07364678311945257,-0.10902554456028797,0.33271299629739065,0.07566717824901349,0.11614032853787194,0.17989871842522612,0.4290311012123452,0.290733687001341
APPLE,0.06264048377471262,0.5856418811132458,1.0,0.09425492055720819,0.26217659659819753,0.13687518555125502,0.5314817421269269,0.5322882682820164,0.11728742220247719,0.11052094036299828,0.15572312940144337,0.15997562896761286,0.08952314224159362,0.3350628937020355,0.5584441471382876,0.7317725547401894,0.20213706540442652,0.5872527266746561,0.11712714090128892,-0.008148865593909593,0.29329196598584384,0.14084016630345733,0.14085875044143342,0.14221934715506798,0.47786048938010967,0.39332669885378957
ASIANPAINT,0.06094536097686595,0.06949211713808923,0.09425492055720819,1.0,0.0860298706000693,0.3460865538264742,0.12386139386389607,0.03873339970105448,0.31952874220751126,0.45773107670117835,0.3197220539838863,0.2985006184297825,0.23583677102993808,0.21580087547058982,0.07833849492370168,0.10816715704983088,0.1204408763341224,0.04890277995785673,0.33638347013558195,-0.02254222919357269,0.15760862188928818,0.20411200869774374,0.11442562120433235,0.28863836641414203,0.0981561610331508,0.03485770681850786
ASML,0.4212540169758079,0.18562441986767914,0.26217659659819753,0.0860298706000693,1.0,0.28576859373634955,0.28462940867948827,0.5651009448417428,-0.019243567511708862,0.016316666557233225,0.10520728455162666,-0.11705374803508267,-0.24568488072972536,0.19028984592941345,0.201156519498572,0.16104958482245268,0.33588850940703974,0.4573852551227395,0.3029194117756679,0.6681904442656833,0.026703366340842617,0.3473810119868039,0.10085135783313495,-0.23047804953849227,0.1600535973301062,0.665713841334628
BAJFINANCE,0.24823166200076818,0.051769725645508524,0.13687518555125502,0.3460865538264742,0.28576859373634955,1.0,0.2438040596247114,0.20982461162555296,0.45616938428498516,0.2418923512535781,0.5696983486700227,0.20051897690819961,0.1544035912118162,0.1619039589512756,0.09750130382768611,0.06807108846862377,0.17323570172502661,0.10255417990662855,0.44854066861891767,0.25549962051662195,0.08949642924212507,0.5766962710101836,0.14635101246261348,0.12086511091330493,0.10298829604734004,0.23608286073923437
BERKSHIRE,0.13024805472346832,0.32981800913476933,0.5314817421269269,0.12386139386389607,0.28462940867948827,0.2438040596247114,1.0,0.47558995390060993,0.1915148974168464,0.12869578277873242,0.25933469903365736,0.13414235592674031,0.0767429762351116,0.3523823736981672,0.36408832053152923,0.4987102667276898,0.2575762632645206,0.3879120469127983,0.24899982442159244,0.13440420136888132,0.2283088812698836,0.2781456425367635,0.13234635721060586,0.08549136693564065,0.2575184257825377,0.35529475541344885
GOOGLE,0.2990037827004786,0.4813138178675497,0.5322882682820164,0.03873339970105448,0.5651009448417428,0.20982461162555296,0.47558995390060993,1.0,-0.035630240371538405,-0.03260212252184928,0.0964689145371671,-0.12498176445187513,-0.19931097952826804,0.07185802541053847,0.4924599522839609,0.4955733775805111,0.24976803454424285,0.5836239981175217,0.19849607397876928,0.5360361827950679,-0.03831198590797192,0.3017025768975018,0.09377816773456174,-0.20769395652854278,0.28041041813139794,0.6370622201664348
HDFCBANK,0.0734395652647142,0.08881403286957076,0.11728742220247719,0.31952874220751126,-0.019243567511708862,0.45616938428498516,0.1915148974168464,-0.035630240371538405,1.0,0.28376495795543727,0.6418174929256275,0.43302224691745356,0.38147582074453085,0.3412226491814076,0.10432097702580254,0.16115240516600496,0.0979917556578176,0.0195631997756994,0.37873856714539966,-0.21342759056669874,0.32207424956292685,0.384873148287669,0.1942370886581102,0.4081093621077113,0.14573241205977241,-0.0686723786696287
HINDUNILVR,0.034393425112970576,0.08428229904774083,0.11052094036299828,0.45773107670117835,0.016316666557233225,0.2418923512535781,0.12869578277873242,-0.03260212252184928,0.28376495795543727,1.0,0.26478841986889284,0.37736775802414224,0.3466166992407615,0.2464654824723541,0.1288506614090506,0.14235975173435939,0.09287642105659653,0.06657699665633825,0.28362395482021646,-0.14302905809316263,0.25302725157746514,0.10591316107645518,0.12863215292669652,0.37208157907313194,0.1122907132231332,-0.0038477338910200783
ICICIBANK,0.13123913929507697,0.11839719124027803,0.15572312940144337,0.3197220539838863,0.10520728455162666,0.5696983486700227,0.25933469903365736,0.0964689145371671,0.6418174929256275,0.26478841986889284,1.0,0.3747249642217077,0.334755697681441,0.2662095579549099,0.14457864389172395,0.15652518845861846,0.11170183717364789,0.08709320679117522,0.42135314381570876,-0.023669376887606397,0.2676511592029684,0.5953283500328561,0.20935372318219753,0.3267796419665705,0.16014697741945932,0.06443513912727183
INFY,-0.05557056781571158,0.15995681777490103,0.15997562896761286,0.2985006184297825,-0.11705374803508267,0.20051897690819961,0.13414235592674031,-0.12498176445187513,0.43302224691745356,0.37736775802414224,0.3747249642217077,1.0,0.4312236569728177,0.384513289081006,0.18657401936003012,0.2499244177123873,0.030693521696467004,0.03323483323057769,0.23399387339348843,-0.3972969149362798,0.4562845447146644,0.07833635486906974,0.23510012670944602,0.7843819976352343,0.18862654122688727,-0.15810147802418892
ITC,-0.11879913605452763,0.12557585266408994,0.08952314224159362,0.23583677102993808,-0.24568488072972536,0.1544035912118162,0.0767429762351116,-0.19931097952826804,0.38147582074453085,0.3466166992407615,0.334755697681441,0.4312236569728177,1.0,0.3017170008165007,0.13730488998862456,0.18381699076256508,0.010671852529297402,-0.022302298231221734,0.16866866946749687,-0.472972221042611,0.40694076018124864,0.15734498459671295,0.1696180123232602,0.47699457314122906,0.11863058626088836,-0.23257894030090379
LVMH,0.07219185730214914,0.2889424553600943,0.3350628937020355,0.21580087547058982,0.19028984592941345,0.1619039589512756,0.3523823736981672,0.07185802541053847,0.3412226491814076,0.2464654824723541,0.2662095579549099,0.384513289081006,0.3017170008165007,1.0,0.28676312111600366,0.4090619267911594,0.24064400099189276,0.23240084576085368,0.17490933804842823,-0.3056146509833574,0.5988457864395973,0.09276676142943902,0.16856708919559704,0.40534254164171063,0.27426742648180097,0.06299568218250583
META,0.0522648581426985,0.6105761957556209,0.5584441471382876,0.07833849492370168,0.201156519498572,0.09750130382768611,0.36408832053152923,0.4924599522839609,0.10432097702580254,0.1288506614090506,0.14457864389172395,0.18657401936003012,0.13730488998862456,0.28676312111600366,1.0,0.618196513095152,0.12677760774107472,0.5052754986866538,0.10758232283107559,-0.0677800224217171,0.3189172905317009,0.08795452079163524,0.11953264560766413,0.1695724962666708,0.33145726235746065,0.2960253930305044
MICROSOFT,-0.022191536537263766,0.678286836491355,0.7317725547401894,0.10816715704983088,0.16104958482245268,0.06807108846862377,0.4987102667276898,0.4955733775805111,0.16115240516600496,0.14235975173435939,0.15652518845861846,0.2499244177123873,0.18381699076256508,0.4090619267911594,0.618196513095152,1.0,0.15635803557690733,0.6192777205886412,0.08461322496911525,-0.20481700178749043,0.4373004150908664,0.058016204612166854,0.10300428138170395,0.25744742958288364,0.45116700169786894,0.2892402833458362
NESTLE,0.1555942273651746,0.08282233884975086,0.20213706540442652,0.1204408763341224,0.33588850940703974,0.17323570172502661,0.2575762632645206,0.24976803454424285,0.0979917556578176,0.09287642105659653,0.11170183717364789,0.030693521696467004,0.010671852529297402,0.24064400099189276,0.12677760774107472,0.15635803557690733,1.0,0.1389037263550118,0.1766818457876845,0.2353343773063471,0.12197137062469841,0.18980203358247966,0.09812455967163998,-0.016625993070280336,0.09102597956513725,0.20581420374588946
NVIDIA,0.15430240656413272,0.5456394044586759,0.5872527266746561,0.04890277995785673,0.4573852551227395,0.10255417990662855,0.3879120469127983,0.5836239981175217,0.0195631997756994,0.06657699665633825,0.08709320679117522,0.03323483323057769,-0.022302298231221734,0.23240084576085368,0.5052754986866538,0.6192777205886412,0.1389037263550118,1.0,0.1611248999152331,0.1844142697322992,0.19248752164831956,0.14306425677140494,0.10689828888276946,0.008368314505942198,0.4377619188064584,0.6259166264600017
RELIANCE,0.22234168674163773,0.07364678311945257,0.11712714090128892,0.33638347013558195,0.3029194117756679,0.44854066861891767,0.24899982442159244,0.19849607397876928,0.37873856714539966,0.28362395482021646,0.42135314381570876,0.23399387339348843,0.16866866946749687,0.17490933804842823,0.10758232283107559,0.08461322496911525,0.1766818457876845,0.1611248999152331,1.0,0.2308741567808314,0.1377700189288145,0.4730774399759906,0.20799980998246267,0.20197412454270577,0.1115693902648851,0.25501784760350615
SAMSUNG,0.454027249836292,-0.10902554456028797,-0.008148865593909593,-0.02254222919357269,0.6681904442656833,0.25549962051662195,0.13440420136888132,0.5360361827950679,-0.21342759056669874,-0.14302905809316263,-0.023669376887606397,-0.3972969149362798,-0.472972221042611,-0.3056146509833574,-0.0677800224217171,-0.20481700178749043,0.2353343773063471,0.1844142697322992,0.2308741567808314,1.0,-0.48680767092013405,0.3818713504134126,0.00932905695907122,-0.5386346214098108,-0.08632292493549248,0.6133210799139036
SAP,-0.10491843968955412,0.33271299629739065,0.29329196598584384,0.15760862188928818,0.026703366340842617,0.08949642924212507,0.2283088812698836,-0.03831198590797192,0.32207424956292685,0.25302725157746514,0.2676511592029684,0.4562845447146644,0.40694076018124864,0.5988457864395973,0.3189172905317009,0.4373004150908664,0.12197137062469841,0.19248752164831956,0.1377700189288145,-0.48680767092013405,1.0,-0.0014548038641417338,0.1624427176976944,0.4901890343588334,0.2407124559168882,-0.07749790244109536
SBIN,0.2838328958664728,0.07566717824901349,0.14084016630345733,0.20411200869774374,0.3473810119868039,0.5766962710101836,0.2781456425367635,0.3017025768975018,0.384873148287669,0.10591316107645518,0.5953283500328561,0.07833635486906974,0.15734498459671295,0.09276676142943902,0.08795452079163524,0.058016204612166854,0.18980203358247966,0.14306425677140494,0.4730774399759906,0.3818713504134126,-0.0014548038641417338,1.0,0.14224078935052353,0.011754669318963748,0.07381377326501033,0.3301831231851116
SONY,0.1976708389361309,0.11614032853787194,0.14085875044143342,0.11442562120433235,0.10085135783313495,0.14635101246261348,0.13234635721060586,0.09377816773456174,0.1942370886581102,0.12863215292669652,0.20935372318219753,0.23510012670944602,0.1696180123232602,0.16856708919559704,0.11953264560766413,0.10300428138170395,0.09812455967163998,0.10689828888276946,0.20799980998246267,0.00932905695907122,0.1624427176976944,0.14224078935052353,1.0,0.2218885604001079,0.1263206425344546,0.06255749313140523
TCS,-0.10843473488082747,0.17989871842522612,0.14221934715506798,0.28863836641414203,-0.23047804953849227,0.12086511091330493,0.08549136693564065,-0.20769395652854278,0.4081093621077113,0.37208157907313194,0.3267796419665705,0.7843819976352343,0.47699457314122906,0.40534254164171063,0.1695724962666708,0.25744742958288364,-0.016625993070280336,0.008368314505942198,0.20197412454270577,-0.5386346214098108,0.4901890343588334,0.011754669318963748,0.2218885604001079,1.0,0.18975784469290832,-0.2592555746885681
