open,high,low,close,volume,name,symbol,market,sector,currency,date
679.0819971118469,683.1529137163456,673.490123328754,675.32421875,14004468,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-01
676.397899264457,689.3487905881979,676.397899264457,686.8212280273438,17710316,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-02
685.7923126356704,689.6619561224467,681.3187895160008,687.6488647460938,20984698,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-03
679.976780464453,683.510829151107,670.1349935917717,671.7007446289062,24519177,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-06
679.5293813804267,686.4633961016671,677.0689495898322,682.0346069335938,16683622,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-07
677.7399630034671,686.440941615489,675.5032015883575,676.912353515625,16047902,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-08
688.2975058097518,693.3973052036212,685.0094646794911,692.5026245117188,14982742,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-09
694.2472957890357,696.9537946408119,688.7672268918529,692.3460693359375,12478359,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-10
691.1828577141231,697.2892020163699,688.2079551828986,690.5789184570312,18282382,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-13
688.9238120878065,693.3973351908096,680.8043754201078,684.181884765625,15816535,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-14
687.0672990416617,688.8790573291237,679.1938699492092,681.6990356445312,15817859,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-15
684.0028644434916,690.4223472080394,683.5554644082378,687.9842529296875,12847975,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-16
694.9630411899628,709.0322829800654,694.8288390890643,707.2652587890625,29463471,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-17
719.7911481994419,719.7911481994419,682.839761284159,685.5015258789062,32545850,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-20
683.8239827310947,691.5408127343894,680.8714169985212,686.1949462890625,18922720,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-21
690.7131148902863,691.9433305465104,684.942245991995,685.9487915039062,10322817,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-22
687.3581232334355,689.796218032275,680.2899656476081,683.0411987304688,11247739,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-23
683.1081395891008,687.2909208972738,679.3280242942884,680.6701049804688,14628445,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-24
677.6952802850295,681.9674704241261,673.2664314282462,673.9598388671875,13387750,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-27
674.8768456496997,675.5031818296184,654.7459935025485,658.3919067382812,24532236,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-28
659.4207487202938,668.5243925324733,654.9472262974796,662.0154418945312,24746565,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-29
661.6352224321117,661.9483606637074,644.1884717288344,645.8660278320312,22402689,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-30
650.004074503463,650.115939458839,629.5153479649114,631.5060424804688,34750310,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-01-31
612.8289902103342,626.2719547408867,609.7646194987522,619.8076782226562,30712290,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-02-03
626.2942886767648,640.8332667548419,625.310139999637,638.1044311523438,25383901,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-02-04
641.9068982608502,649.9145288544571,639.849132797698,647.9909057617188,18472100,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-02-05
650.4961469348968,656.26695662953,644.2332031533095,652.1513061523438,15538577,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-02-06
649.1094039600182,649.7133433335028,638.9544787429636,641.3478393554688,12209212,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-02-07
638.8201869242226,646.6488813487252,630.9691553464403,642.2200927734375,15142476,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-02-10
647.4988515504008,655.9090886918525,646.4475719077193,649.8922119140625,13999816,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-02-11
651.4132707150139,659.7787743619559,650.8987994375913,657.7432861328125,13533565,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-02-12
661.0760000110254,661.0760000110254,654.2985851368666,659.4655151367188,13565659,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-02-13
660.8523004641426,671.6782343336056,650.0487037471439,665.482421875,21227841,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-02-14
666.108801931165,673.7808982963232,659.5327193324579,661.2997436523438,13149130,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-02-17
660.248435272722,660.248435272722,651.9723999060855,656.4459228515625,11127161,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-02-18
661.7918138192991,673.9150960904617,659.8905874009041,672.7296142578125,14084409,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-02-19
669.6876451612479,674.6085086758875,663.7825731086709,664.744384765625,16892268,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-02-20
657.4971087066476,660.7404153655295,643.987073728272,646.4027709960938,21370214,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-02-24
649.288374635656,649.288374635656,630.7679444557913,633.6310424804688,27745062,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-02-25
630.7678186366056,631.8190982347916,620.6352917833475,622.7154541015625,29362748,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-02-26
620.9260652375485,623.5207586374837,612.4263599498594,620.1432495117188,25054993,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-02-27
606.1187459732274,607.0582205033455,592.7429101600251,594.375732421875,39315769,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-02-28
606.2081051825395,612.4263145698782,582.0510718430629,588.7837524414062,29500495,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-03-02
594.8454740172322,605.6714099989539,591.4008335900859,600.7281494140625,27398798,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-03-03
604.821435403794,605.6266480626504,585.0931280116588,599.3189697265625,22105261,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-03-04
604.9109502487335,607.4832471398267,584.2432264899035,586.547119140625,30510390,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-03-05
568.1384140570675,576.2579099445863,555.2099199542964,568.5857543945312,33734039,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-03-06
554.7401888514859,555.1651920392663,489.8516505743549,498.41845703125,88187018,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-03-09
495.6671803789598,527.1832005807552,495.6671803789598,516.0441284179688,59578576,RELIANCE,RELIANCE.NS,India,Energy,INR,2020-03-11
